trade_date,ticker,open_price,high_price,low_price,close_price,volume,daily_change_pct
2021-10-14,BBCA.JK,6797.05607358871,7065.360918598791,6797.05607358871,6931.20849609375,138811900,1.9737
2021-10-15,BBCA.JK,6975.92635569853,7043.00257065717,6662.904019224878,6841.77392578125,142378200,-1.9231
2021-10-18,BBCA.JK,6841.774164244186,6864.132903343024,6685.262990552326,6729.98046875,116644300,-1.634
2021-10-19,BBCA.JK,6685.262843424479,6729.980320638021,6573.469150390625,6707.62158203125,134601200,0.3344
2021-10-21,BBCA.JK,6707.62098157728,6752.338454787796,6573.468561945735,6618.18603515625,106120100,-1.3333
2021-10-22,BBCA.JK,6662.9042514534885,6752.339207848838,6640.545512354652,6729.98046875,96730700,1.0067
2021-10-25,BBCA.JK,6618.186773255814,6729.98046875,6618.186773255814,6729.98046875,60329800,1.6892
2021-10-26,BBCA.JK,6797.056686046512,6797.056686046512,6707.621729651163,6729.98046875,70103000,-0.9868
2021-10-27,BBCA.JK,6774.6974966574035,6774.6974966574035,6640.545070981019,6662.90380859375,57067000,-1.6502
2021-10-28,BBCA.JK,6573.468898967161,6640.545112221928,6573.468898967161,6595.82763671875,75271900,0.3401
2021-10-29,BBCA.JK,6662.903470552885,6685.26220703125,6595.827261117788,6685.26220703125,60639200,0.3356
2021-11-01,BBCA.JK,6752.338454787796,6752.338454787796,6618.18603515625,6618.18603515625,38593400,-1.9868
2021-11-02,BBCA.JK,6595.827678523652,6640.545154310253,6484.0339890571495,6528.75146484375,90535400,-1.0169
2021-11-03,BBCA.JK,6528.751275510203,6618.186224489796,6484.033801020408,6573.46875,61621500,0.6849
2021-11-04,BBCA.JK,6640.545112221928,6685.262587725106,6595.82763671875,6595.82763671875,61081400,-0.6734
2021-11-05,BBCA.JK,6685.262546206481,6685.262546206481,6595.827595755558,6662.90380859375,43120400,-0.3344
2021-11-08,BBCA.JK,6707.622021967822,6797.056982260726,6662.904541821369,6774.6982421875,85441700,1.0
2021-11-09,BBCA.JK,6797.056596091205,6864.1328125,6774.697857288274,6864.1328125,101785800,0.9868
2021-11-10,BBCA.JK,6864.132664100797,6864.132664100797,6774.697710822611,6841.77392578125,47503900,-0.3257
2021-11-11,BBCA.JK,6886.491551302932,6931.209028908795,6797.056596091205,6864.1328125,55790000,-0.3247
2021-11-12,BBCA.JK,6931.209120639535,6931.209120639535,6729.98046875,6729.98046875,52590100,-2.9032
